"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"25.8738","1133","332","179","11","218","455","15","60","20","43","48","266","10","218","66475","1-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.8185","1043","401","116","14","198","436","3","68","12","47","50","275","4","104","44292","2-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"28.7284","1258","517","108","14","230","496","6","59","14","56","63","316","3","59","53232","3-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"29.4135","1288","545","55","22","207","458","4","72","30","50","54","329","1","92","61061","4-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"28.1118","1231","574","39","10","259","477","3","73","19","60","67","389","3","1478","52464","5-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"25.5541","1119","482","44","13","203","451","9","68","19","48","55","274","4","103","28757","6-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"28.0890","1230","569","44","8","236","479","6","67","14","57","65","358","6","449","95937","7-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"27.5409","1206","440","18","10","195","398","2","60","16","46","51","273","3","7","52219","8-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"26.6960","1169","558","25","14","208","445","5","60","26","40","42","333","7","38","113122","9-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"27.4496","1202","631","35","13","254","531","4","71","29","58","63","346","0","280","20727","10-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"24.9147","1091","623","31","15","259","471","10","65","30","63","69","416","13","32","58523","11-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"22.6767","993","523","9","9","197","422","-2","42","10","37","43","292","0","56","-11244","12-2013","1800","KŘP LIBERECKÉHO KRAJE","437894"
"27.3811","1199","398","213","14","231","495","4","53","17","44","54","308","3","26","40111","1-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"24.5493","1075","405","126","7","245","474","8","69","11","54","66","300","1","36","137589","2-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"24.8690","1089","496","112","9","208","463","8","62","27","59","68","331","11","69","51871","3-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.9784","1050","545","67","10","239","488","9","61","25","39","45","310","12","163","39070","4-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.6815","1037","540","56","7","228","483","4","56","17","43","52","354","3","48","238382","5-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.1791","1015","473","34","10","217","410","8","63","17","37","42","306","11","213","167073","6-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"27.1984","1191","591","46","6","262","532","4","60","16","60","62","372","5","72","24921","7-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.4988","1029","475","29","9","226","431","3","60","8","49","62","292","0","464","29020","8-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.9784","1050","525","19","16","207","421","3","75","17","31","38","306","2","102","102558","9-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"22.7452","996","541","25","12","230","499","4","81","19","45","52","298","5","30","100308","10-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"20.8726","914","571","11","7","224","474","8","64","9","52","60","317","2","46","16545","11-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"19.6166","859","439","38","9","168","372","5","58","20","51","57","221","2","13","-86091","12-2014","1800","KŘP LIBERECKÉHO KRAJE","437894"
"25.4628","1115","364","208","9","204","469","11","67","14","41","48","293","6","40","30081","1-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"20.0734","879","364","119","6","207","442","6","60","10","47","55","244","2","36","26287","2-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"23.9784","1050","492","115","14","249","497","1","81","20","46","53","356","1","366","29881","3-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"21.4435","939","466","58","6","195","437","7","66","16","47","55","258","7","19","45958","4-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"20.3246","890","449","46","9","221","392","2","69","8","46","55","298","4","135","35375","5-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"21.1695","927","497","36","8","213","445","10","62","31","48","51","298","7","33","252626","6-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"22.1743","971","435","45","9","202","423","13","76","21","36","43","266","6","5","30981","7-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"21.1467","926","426","20","6","171","361","2","60","7","40","48","242","1","46","28817","8-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"19.9820","875","402","19","10","173","366","9","64","10","46","50","221","6","35","80301","9-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"21.5121","942","578","13","7","229","486","9","77","14","56","62","320","9","9","85534","10-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"18.7260","820","475","15","10","192","404","7","65","12","45","50","251","4","167","86137","11-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"18.7260","820","461","20","5","171","392","5","42","15","28","34","257","10","1596","83413","12-2015","1800","KŘP LIBERECKÉHO KRAJE","437894"
"20.5301","899","311","220","0","0","0","0","0","0","0","0","0","0","0","0","1-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"17.6527","773","310","148","0","0","0","0","0","0","0","0","0","0","0","0","2-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"20.7356","908","371","99","0","0","0","0","0","0","0","0","0","0","0","0","3-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"19.4111","850","424","81","0","0","0","0","0","0","0","0","0","0","0","0","4-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"20.1190","881","501","55","0","0","0","0","0","0","0","0","0","0","0","0","5-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"16.2596","712","444","45","0","0","0","0","0","0","0","0","0","0","0","0","6-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"15.8029","692","354","39","0","0","0","0","0","0","0","0","0","0","0","0","7-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"17.4928","766","421","39","0","0","0","0","0","0","0","0","0","0","0","0","8-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"17.0132","745","355","27","0","0","0","0","0","0","0","0","0","0","0","0","9-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"16.2368","711","463","27","0","0","0","0","0","0","0","0","0","0","0","0","10-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"14.9351","654","511","17","0","0","0","0","0","0","0","0","0","0","0","0","11-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
"13.5878","595","384","10","0","0","0","0","0","0","0","0","0","0","0","0","12-2016","1800","KŘP LIBERECKÉHO KRAJE","437894"
