"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"22.5067","2616","560","429","15","461","875","20","121","26","130","160","576","12","337","113970","1-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"22.2745","2589","770","278","26","470","885","15","127","45","100","121","596","14","142","278524","2-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"23.8403","2771","952","197","38","549","981","5","159","51","109","131","712","4","-87","138596","3-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"22.9541","2668","993","128","13","545","966","9","145","36","139","167","689","10","92","149783","4-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"22.4035","2604","1009","126","37","505","951","8","142","49","129","163","657","8","129","138994","5-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"20.3043","2360","983","64","28","471","872","9","123","43","136","165","666","10","908","293178","6-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"22.2745","2589","1061","83","25","557","939","5","129","42","163","193","766","9","382","120058","7-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"20.9667","2437","915","28","19","451","781","9","111","52","145","177","615","10","174","144907","8-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"21.2851","2474","1025","42","37","534","939","11","157","52","138","183","665","17","307","277235","9-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"21.1560","2459","1146","34","23","550","1006","21","135","50","177","227","714","23","181","101189","10-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"19.5299","2270","1240","21","39","565","1044","14","172","69","151","209","732","26","570","104250","11-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"16.9833","1974","971","31","27","444","848","8","118","49","110","165","593","9","173","398694","12-2013","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"22.0508","2563","533","420","24","505","833","13","102","36","122","183","602","15","150","308926","1-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"18.8675","2193","664","276","23","447","825","5","119","32","122","194","546","7","28","-58300","2-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"20.9667","2437","925","287","27","589","1064","6","167","50","161","225","719","7","242","1034030","3-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"20.4763","2380","977","196","24","536","980","14","145","37","130","213","717","15","103","155221","4-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"19.3062","2244","946","95","19","491","883","9","152","43","113","180","653","7","79","77022","5-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"19.2804","2241","1266","105","27","520","965","13","147","46","137","225","879","14","93","90648","6-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"19.9687","2321","982","81","21","469","903","14","148","42","145","219","637","15","223","174948","7-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"19.4353","2259","890","44","19","407","802","13","100","35","141","229","532","10","126","143174","8-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"19.3149","2245","1145","42","23","505","964","13","142","71","128","232","719","17","88","114581","9-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"21.1560","2459","1120","41","23","536","983","5","147","37","104","189","676","5","151","70733","10-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"17.6888","2056","1188","32","39","528","983","4","152","57","118","216","747","3","245","260062","11-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"14.7206","1711","982","89","17","449","826","10","126","32","107","174","632","9","270","107558","12-2014","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"18.5577","2157","391","459","20","420","804","12","112","29","107","212","484","10","340","125511","1-2015","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"16.4499","1912","577","324","16","432","815","3","110","19","101","187","519","6","83","220942","2-2015","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
"18.2050","2116","894","239","11","516","963","4","147","19","108","209","667","6","214","258434","3-2015","0600","KŘP JIHOMORAVSKÉHO KRAJE","1162318"
