"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"30.1334","84","11","12","0","7","19","0","1","0","5","7","8","0","0","2855","1-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"31.2096","87","14","2","0","8","16","0","2","0","2","3","6","0","0","2962","2-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"29.7747","83","18","2","0","9","20","0","0","0","1","3","11","0","0","5014","3-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"33.0033","92","14","8","0","7","17","0","0","0","1","1","12","0","601","5004","4-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"24.0350","67","18","6","0","9","13","0","3","7","1","1","15","0","0","3065","5-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"24.3937","68","18","1","2","12","18","0","4","2","3","4","12","0","4","3613","6-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"25.4699","71","19","1","1","11","19","0","2","1","1","5","12","0","0","356","7-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"22.9588","64","23","0","1","8","20","0","0","0","4","4","10","0","0","5257","8-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"26.5461","74","13","0","0","2","10","0","1","1","3","4","4","0","7","4464","9-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"30.1334","84","13","1","0","9","14","0","1","0","2","4","9","0","14","3296","10-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
"16.1429","45","12","-1","0","6","8","0","2","0","0","1","8","0","0","-171","11-2013","001214","MOP BARRANDOV OŘP PRAHA II.","27876"
