"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"21.5452","1231","607","86","14","261","617","6","78","24","101","112","322","9","2","36033","1-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.9875","1142","625","69","10","232","555","2","50","14","100","113","326","1","103","24444","2-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.6900","1125","612","50","10","238","566","0","66","10","94","102","302","2","23","53670","3-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.5850","1119","594","46","23","210","541","7","79","35","81","100","243","12","12","29969","4-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.9525","1140","662","21","20","222","544","5","78","29","88","97","305","7","17","20842","5-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.6200","1121","613","18","16","205","528","4","57","20","104","126","278","4","13","133661","6-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"20.1100","1149","604","12","11","237","557","4","66","19","91","109","295","6","62","28429","7-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.7075","1126","641","8","8","200","492","8","64","12","87","100","268","4","126","28612","8-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"20.2150","1155","630","2","8","232","524","8","78","13","90","113","315","7","6","31930","9-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"21.4402","1225","681","1","8","239","559","3","88","18","98","122","320","3","28","38448","10-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"18.8499","1077","634","10","8","231","521","5","73","21","87","108","296","4","46","55932","11-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"19.3049","1103","481","3","3","147","361","4","49","17","63","67","232","5","7","-37765","12-2013","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"20.9501","1197","577","144","13","290","658","5","91","15","98","116","358","2","680","26284","1-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"17.8172","1018","521","99","6","236","524","5","59","11","86","99","300","3","74","29329","2-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"18.0623","1032","622","69","16","267","547","3","64","20","77","105","372","4","-37","26733","3-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"17.4322","996","586","22","6","223","528","5","69","19","98","110","271","4","159","24845","4-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"17.3797","993","574","19","9","213","515","3","69","15","83","98","251","6","-510","20587","5-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"16.4171","938","553","16","6","210","484","6","60","11","82","94","267","5","20","20951","6-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"18.3248","1047","548","16","9","218","518","7","61","14","92","102","265","6","102","56047","7-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"15.4894","885","491","14","7","166","439","8","69","13","75","86","211","4","92","17061","8-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"18.0273","1030","611","5","9","255","564","1","85","16","113","136","319","0","-63","19361","9-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"16.8371","962","497","3","5","180","455","2","56","8","73","81","205","2","32","37508","10-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"16.1545","923","563","12","4","202","472","6","66","11","89","117","265","5","19","43480","11-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"16.9771","970","377","13","7","116","333","12","49","14","50","57","145","11","33","70219","12-2014","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"17.5547","1003","449","93","14","207","485","2","80","16","86","103","234","5","1","25858","1-2015","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"15.2444","871","462","91","7","189","460","4","67","15","76","99","248","2","158","15295","2-2015","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"15.4894","885","518","67","10","212","489","1","62","14","86","133","294","3","14","18923","3-2015","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
"16.1195","921","502","33","7","191","432","5","61","18","70","83","251","9","26","44279","4-2015","0300","KŘP PLZEŇSKÉHO KRAJE","571357"
