"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"33.4044","2767","851","362","36","613","1145","14","178","38","90","100","720","6","228","198212","1-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"30.3380","2513","1031","266","30","640","1161","11","179","47","76","91","798","9","631","104611","2-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"30.9537","2564","1182","174","40","640","1196","26","162","61","71","76","815","16","119","139532","3-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"31.0744","2574","1298","132","23","723","1238","17","176","40","81","95","912","10","451","145020","4-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"31.1468","2580","1196","84","21","654","1156","18","161","34","70","84","822","13","464","109346","5-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"29.4567","2440","1229","55","36","591","1109","6","159","52","76","89","789","5","311","219979","6-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"31.8832","2641","1290","42","38","642","1138","17","154","66","88","99","867","21","482","161966","7-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"32.4989","2692","1179","32","20","618","1033","4","138","27","78","87","833","5","373","113628","8-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"30.4949","2526","1267","41","21","600","1084","7","156","29","81","96","821","9","231","115583","9-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"30.2172","2503","1370","40","32","686","1236","16","203","49","102","118","852","6","1196","103413","10-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"26.8370","2223","1448","22","35","736","1324","15","210","63","94","113","927","12","218","11992","11-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"22.0321","1825","1035","14","15","577","920","19","128","24","79","85","691","8","181","105589","12-2013","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"32.8128","2718","1026","419","29","722","1269","6","204","28","105","122","903","9","130","100415","1-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"26.9335","2231","1065","239","28","681","1163","29","153","31","92","107","856","12","182","168309","2-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"30.6881","2542","1200","204","25","673","1187","19","217","47","107","134","890","14","1085","84066","3-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"28.0201","2321","1277","119","32","629","1210","21","206","53","85","112","842","14","202","184433","4-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"26.4144","2188","1164","89","28","594","1095","13","195","50","86","109","786","12","167","309750","5-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"26.2575","2175","1370","63","23","710","1204","12","192","34","91","117","939","11","236","129159","6-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"25.8470","2141","1214","46","14","645","1068","17","154","35","76","86","851","13","552","212473","7-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"24.0724","1994","1132","34","29","583","999","14","151","36","97","116","779","9","139","87071","8-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"25.1951","2087","1290","27","24","658","1146","11","170","32","90","106","827","6","239","73407","9-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"26.5955","2203","1399","34","25","669","1203","15","190","37","103","136","903","6","78","130476","10-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"22.2736","1845","1424","21","30","749","1239","8","190","42","100","131","963","9","97","132976","11-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"17.8913","1482","973","48","31","489","907","12","134","45","95","107","608","8","105","67115","12-2014","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"28.3219","2346","973","314","24","659","1152","9","175","34","93","134","790","14","80","165887","1-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"23.1911","1921","990","243","22","568","1055","5","166","27","67","106","721","3","142","71847","2-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"23.8430","1975","1190","169","15","667","1178","17","186","42","108","140","863","14","144","100090","3-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"21.7303","1800","1135","111","25","666","1162","13","196","27","107","131","789","8","422","56310","4-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"20.4869","1697","930","63","23","559","971","9","169","26","93","128","629","8","142","80352","5-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"22.4064","1856","1110","80","28","648","1072","6","166","35","104","135","776","7","196","53723","6-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"20.8973","1731","1022","50","18","549","941","14","148","29","77","109","706","8","167","53250","7-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"19.9315","1651","918","30","20","482","841","13","137","28","74","82","602","7","90","70985","8-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"20.7645","1720","1040","35","21","584","985","12","148","43","81","110","693","8","184","168261","9-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"19.2434","1594","1103","31","19","569","1016","6","197","26","92","110","698","6","4","97289","10-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"17.7706","1472","1094","21","22","565","986","5","173","28","61","96","715","6","241","23762","11-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"15.6700","1298","847","24","11","414","771","16","151","24","76","78","536","13","118","61251","12-2015","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"24.0482","1992","778","311","0","0","0","0","0","0","0","0","0","0","0","0","1-2016","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"19.0623","1579","808","253","0","0","0","0","0","0","0","0","0","0","0","0","2-2016","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"19.3762","1605","1057","209","0","0","0","0","0","0","0","0","0","0","0","0","3-2016","0400","KŘP ÚSTECKÉHO KRAJE","828335"
"18.2535","1512","942","112","0","0","0","0","0","0","0","0","0","0","0","0","4-2016","0400","KŘP ÚSTECKÉHO KRAJE","828335"
