"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"14.2763","842","287","162","9","180","390","5","36","14","74","75","238","4","75","28896","1-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"12.0043","708","329","111","1","187","383","7","45","5","77","82","261","2","50","203802","2-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"14.1576","835","422","62","16","200","454","5","54","19","89","91","243","4","457","75694","3-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"13.4116","791","366","42","7","197","378","4","33","17","88","88","229","4","91","44485","4-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"13.8693","818","494","33","14","220","457","1","66","45","116","122","270","5","36","69368","5-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"12.9538","764","414","15","7","192","380","2","44","11","91","94","242","3","29","41561","6-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"14.4797","854","465","12","7","214","414","6","54","16","102","103","265","5","47","50478","7-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"13.7337","810","444","17","14","206","385","1","54","22","108","112","284","1","48","308890","8-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"12.6486","746","455","13","13","187","407","1","65","18","107","113","247","3","7","40672","9-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"12.7164","750","444","13","7","182","372","4","32","13","104","106","249","5","17","27818","10-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"11.8347","698","514","28","6","185","451","4","41","16","133","141","263","4","21","28817","11-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"9.8510","581","363","8","13","148","329","1","32","15","78","85","196","2","58","234624","12-2013","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"13.7507","811","252","163","10","184","358","1","31","12","87","89","238","1","14","41408","1-2014","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"12.5638","741","321","96","9","180","391","1","35","10","96","98","203","5","26","275449","2-2014","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
"12.9029","761","423","76","11","202","418","8","60","19","81","98","284","6","66","104656","3-2014","1500","KŘP ZLÍNSKÉHO KRAJE","589790"
