"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"29.5471","3645","850","511","37","657","1190","15","149","61","152","179","854","19","1075","442364","1-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"28.9230","3568","1087","371","46","766","1248","6","179","75","155","185","1011","6","108","190992","2-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"30.5199","3765","1307","228","43","842","1325","11","148","43","161","203","1055","8","798","150621","3-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"30.3578","3745","1499","188","55","891","1440","13","189","77","185","248","1175","11","941","431749","4-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"32.0682","3956","1595","117","45","877","1427","11","188","94","176","219","1190","15","857","73842","5-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"29.5958","3651","1643","78","54","920","1476","8","233","99","156","218","1174","23","2216","194603","6-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"29.6931","3663","1384","62","41","743","1249","31","213","59","156","211","947","26","532","105837","7-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"28.9230","3568","1539","27","58","801","1319","10","185","84","186","240","1043","16","489","216925","8-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"28.3474","3497","1420","37","31","780","1270","14","196","73","189","226","991","16","4601","-82810","9-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"29.3769","3624","1685","19","36","863","1407","10","196","64","187","226","1167","11","1000","79769","10-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"26.7262","3297","1618","21","54","837","1395","10","203","68","163","216","1112","12","440","148732","11-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"23.2972","2874","1484","17","41","703","1263","21","171","75","173","225","927","21","287","199006","12-2013","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"28.3231","3494","817","615","44","859","1334","8","172","51","185","224","991","7","668","150442","1-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"25.6643","3166","1011","364","32","775","1256","18","155","80","147","192","940","18","370","273705","2-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"28.2988","3491","1395","278","41","848","1379","11","170","65","156","216","1155","10","326","249445","3-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"26.4506","3263","1374","169","59","784","1324","18","188","91","204","258","1010","27","671","147042","4-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"25.7048","3171","1407","110","35","758","1226","19","188","72","179","235","1061","18","435","128762","5-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"25.7534","3177","1512","91","45","843","1345","11","220","68","173","221","1102","11","327","120890","6-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"25.3238","3124","1452","58","36","786","1268","11","172","64","174","218","1048","9","433","85736","7-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"24.0430","2966","1401","48","32","654","1109","13","159","54","177","224","894","14","357","92477","8-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"24.8780","3069","1593","85","42","826","1339","12","199","61","181","240","1196","23","1372","131513","9-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"25.4940","3145","1552","36","36","856","1360","26","223","48","210","260","1120","17","800","90142","10-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"22.6974","2800","1429","33","32","737","1233","24","202","56","174","217","1011","29","-44","156851","11-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"19.1874","2367","1359","117","31","653","1155","16","189","57","155","228","871","19","622","213050","12-2014","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"22.6082","2789","741","544","30","641","1033","6","142","47","169","211","890","10","229","88126","1-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"21.2383","2620","1004","386","41","739","1201","17","175","72","165","226","959","25","151","119170","2-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"23.1189","2852","1278","298","35","790","1297","15","172","49","199","252","1050","13","623","178436","3-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"21.8706","2698","1317","184","38","758","1255","14","182","84","178","266","955","15","366","72657","4-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"20.1196","2482","1173","125","42","663","1091","14","157","66","157","226","869","19","323","134848","5-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"20.3871","2515","1335","84","31","712","1207","36","177","58","181","255","913","14","258","77278","6-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"21.8462","2695","1249","57","38","657","1090","16","160","61","174","238","883","23","391","424975","7-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"21.5625","2660","1221","29","32","624","1043","9","159","48","184","235","832","8","275","100423","8-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"19.5198","2408","1150","42","39","633","1078","9","159","50","163","239","781","12","473","65372","9-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"19.3090","2382","1252","44","27","635","1097","22","152","61","179","261","833","32","570","186741","10-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"18.9280","2335","1346","26","29","678","1155","29","175","54","196","266","918","25","433","87179","11-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"15.6288","1928","1204","21","34","613","1066","19","153","74","169","236","764","34","272","46491","12-2015","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"18.5308","2286","583","509","0","0","0","0","0","0","0","0","0","0","0","0","1-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"18.6524","2301","933","297","0","0","0","0","0","0","0","0","0","0","0","0","2-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"18.2228","2248","1140","310","0","0","0","0","0","0","0","0","0","0","0","0","3-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"18.9199","2334","1082","182","0","0","0","0","0","0","0","0","0","0","0","0","4-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"19.5279","2409","1365","91","0","0","0","0","0","0","0","0","0","0","0","0","5-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"18.5470","2288","1260","113","0","0","0","0","0","0","0","0","0","0","0","0","6-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"17.8742","2205","1029","65","0","0","0","0","0","0","0","0","0","0","0","0","7-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"19.6332","2422","1279","67","0","0","0","0","0","0","0","0","0","0","0","0","8-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"17.3716","2143","1265","38","0","0","0","0","0","0","0","0","0","0","0","0","9-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"16.5448","2041","1155","38","0","0","0","0","0","0","0","0","0","0","0","0","10-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"16.2611","2006","1184","46","0","0","0","0","0","0","0","0","0","0","0","0","11-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
"14.9560","1845","1121","27","0","0","0","0","0","0","0","0","0","0","0","0","12-2016","0700","KŘP MORAVSKOSLEZSKÉHO KRAJE","1233622"
