"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"27.0414","821","487","65","8","298","520","7","63","11","66","87","325","5","23","25722","1-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"23.3853","710","471","43","16","287","462","8","55","25","56","68","350","5","78","25805","2-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"23.9782","728","563","22","13","298","510","3","73","15","68","89","357","4","1719","16851","3-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"21.8044","662","488","16","13","256","452","8","64","24","58","69","309","5","138","21356","4-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"22.2984","677","495","3","7","262","464","7","53","10","70","90","302","5","88","236304","5-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"20.0587","609","405","2","8","236","408","6","65","12","61","76","256","5","74","61639","6-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"23.2536","706","517","4","12","287","494","5","68","19","73","85","336","6","214","11246","7-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"20.7833","631","464","5","9","254","428","3","50","10","73","87","308","3","102","26872","8-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"25.8227","784","462","1","20","247","454","9","56","18","57","75","288","5","129","19514","9-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"25.3286","769","499","6","10","273","471","5","57","19","59","79","321","5","32","21617","10-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"21.3762","649","447","1","7","253","420","4","56","11","64","89","302","3","187","19731","11-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"14.8876","452","313","3","12","179","313","3","44","9","68","84","196","1","142","12024","12-2013","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"24.6370","748","404","98","9","257","456","7","59","12","70","90","318","6","24","71278","1-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"17.6872","537","381","39","10","224","390","0","52","8","50","66","270","0","96","15911","2-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"22.0679","670","420","32","14","235","420","4","52","16","62","90","271","4","27","32408","3-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"20.6516","627","438","13","11","226","417","9","57","27","48","74","268","9","116","49903","4-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"18.3460","557","384","11","8","192","344","1","50","6","53","67","232","1","44","306508","5-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"19.1035","580","418","17","6","226","390","10","69","15","43","66","276","6","52","-18647","6-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"19.8611","603","444","8","4","232","390","4","49","8","72","104","294","4","277","24925","7-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"17.2261","523","360","2","12","193","325","4","49","14","64","82","231","2","154","7817","8-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"17.3908","528","362","2","14","219","386","4","61","14","50","71","225","5","53","-2741","9-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"17.8848","543","356","5","10","209","358","7","44","14","56","69","230","3","120","30552","10-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"15.3816","467","366","3","7","187","317","6","52","13","46","67","236","6","110","7991","11-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"11.2974","343","247","5","-2","120","232","2","38","9","54","67","148","5","9","26799","12-2014","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"20.7833","631","340","80","6","230","395","2","75","4","57","80","271","1","51","19727","1-2015","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"19.7293","599","399","39","5","219","411","5","72","16","57","86","248","9","40","20634","2-2015","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
"18.4118","559","419","23","11","219","405","8","78","19","44","67","258","6","-22","22339","3-2015","1900","KŘP KARLOVARSKÉHO KRAJE","303609"
