"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"15.9782","818","279","131","8","138","303","4","29","18","63","66","224","5","14","54124","1-2013","1600","KŘP KRAJE VYSOČINA","511946"
"13.6929","701","286","74","11","158","298","7","41","17","57","58","212","6","18","24506","2-2013","1600","KŘP KRAJE VYSOČINA","511946"
"16.4080","840","430","61","13","174","364","7","37","16","62","67","232","7","3","55005","3-2013","1600","KŘP KRAJE VYSOČINA","511946"
"14.2984","732","373","41","11","143","284","2","25","18","41","43","246","3","27","24578","4-2013","1600","KŘP KRAJE VYSOČINA","511946"
"15.2360","780","402","29","8","174","337","9","51","18","64","65","263","9","23","42082","5-2013","1600","KŘP KRAJE VYSOČINA","511946"
"14.3374","734","392","22","12","182","322","5","44","23","60","65","263","5","13","93451","6-2013","1600","KŘP KRAJE VYSOČINA","511946"
"15.9782","818","409","13","11","157","315","8","39","32","60","63","243","14","9","35393","7-2013","1600","KŘP KRAJE VYSOČINA","511946"
"14.4937","742","387","7","5","170","280","5","25","12","54","58","281","3","10","23728","8-2013","1600","KŘP KRAJE VYSOČINA","511946"
"13.4389","688","440","8","8","167","315","4","35","16","58","65","261","3","17","10785","9-2013","1600","KŘP KRAJE VYSOČINA","511946"
"14.1226","723","493","11","13","188","371","5","38","26","68","71","301","4","23","83161","10-2013","1600","KŘP KRAJE VYSOČINA","511946"
