"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"21.6301","1381","331","195","8","191","490","9","79","15","47","51","233","5","62","68488","1-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"17.8711","1141","465","121","8","238","507","1","87","14","55","61","288","5","668","55444","2-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"20.4554","1306","648","120","20","292","652","13","106","29","73","74","394","9","180","110139","3-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"19.5157","1246","538","52","13","239","535","11","79","24","83","88","304","7","118","48489","4-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"18.9205","1208","627","41","18","287","602","13","82","31","87","91","350","8","82","38235","5-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"19.5470","1248","636","37","12","242","560","8","89","20","76","83","338","7","-331","41470","6-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"21.8964","1398","580","24","13","242","539","7","84","20","76","85","294","12","62","28846","7-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"18.8578","1204","553","24","13","253","497","10","74","32","82","86","319","11","1066","34658","8-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"18.8109","1201","693","15","13","261","606","14","98","24","84","92","313","12","218","41359","9-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"20.3145","1297","619","12","10","293","525","2","86","14","63","67","389","2","75","305057","10-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"19.0301","1215","736","10","8","256","631","11","96","23","83","90","347","11","70","150710","11-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"14.4566","923","671","8","14","264","608","20","88","24","37","70","323","10","50","150240","12-2013","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"21.5675","1377","428","156","7","273","534","5","85","12","71","78","340","5","103","28229","1-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"17.8554","1140","508","116","8","262","518","3","84","16","74","82","349","5","166","46633","2-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"20.8157","1329","719","83","13","305","641","16","106","28","70","91","404","13","133","50326","3-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"17.5265","1119","589","63","9","266","528","2","85","25","83","94","353","3","67","17228","4-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"20.5494","1312","741","27","15","257","566","7","100","32","74","93","355","13","39","64012","5-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"19.6410","1254","764","40","15","244","562","12","84","57","99","122","343","37","80","278101","6-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"19.2181","1227","720","22","9","286","592","11","98","24","82","113","364","12","24","45837","7-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"15.1145","965","446","11","7","187","404","8","70","15","56","58","238","7","71","34150","8-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
"18.6229","1189","701","11","17","266","558","1","83","24","68","113","405","-1","89","54736","9-2014","1400","KŘP OLOMOUCKÉHO KRAJE","638461"
