"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"16.6046","857","282","172","8","203","418","11","55","14","60","61","261","5","68","62570","1-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"14.4733","747","332","96","13","164","337","-4","35","20","54","60","233","-1","125","40267","2-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"16.1396","833","529","76","17","244","451","7","59","31","60","63","366","12","98","47255","3-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"15.9846","825","453","27","10","180","344","5","43","17","55","59","299","4","92","66278","4-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"16.1589","834","424","40","8","187","335","3","35","22","61","67","319","3","65","25485","5-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"15.7908","815","498","29","14","203","401","7","53","24","59","69","322","8","194","32653","6-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"15.0933","779","387","24","10","172","342","6","49","15","70","74","231","16","137","-10298","7-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"14.0277","724","377","15","10","174","319","6","36","16","63","65","241","4","48","10496","8-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"12.6908","655","366","8","16","151","296","7","44","30","45","46","208","16","118","24859","9-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"14.9383","771","431","6","9","179","355","6","51","12","43","49","253","1","40","140369","10-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"12.4583","643","397","3","13","172","320","2","47","17","64","68","248","3","26","10094","11-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.7995","609","329","12","16","144","274","9","44","20","38","42","198","10","164","47774","12-2013","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"18.5421","957","346","177","11","214","404","1","52","12","72","76","313","1","90","39973","1-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"14.0083","723","372","86","9","189","357","5","48","20","52","56","281","5","209","65374","2-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"15.3839","794","413","47","10","207","375","1","48","13","38","41","257","3","-136","24420","3-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"13.8727","716","389","46","11","191","379","8","56","19","71","75","245","5","100","17893","4-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"14.2020","733","414","23","8","206","333","2","54","13","48","58","299","3","157","16724","5-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"13.5433","699","390","18","9","188","334","1","37","12","48","51","263","2","35","229668","6-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"12.6714","654","418","13","10","187","346","7","41","14","58","64","263","4","195","18065","7-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"13.3108","687","320","12","3","143","271","6","49","5","40","43","187","4","565","28027","8-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"13.0008","671","402","5","8","167","322","9","48","20","57","64","264","12","85","14825","9-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"12.6326","652","417","13","12","190","342","3","37","19","83","85","257","3","206","311114","10-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.4701","592","412","15","9","167","304","11","39","24","55","61","274","11","942","24523","11-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.7264","502","352","51","6","149","276","5","41","12","42","45","232","6","46","11655","12-2014","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"14.3764","742","285","104","3","157","306","4","43","8","44","49","229","3","45","56447","1-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.5089","594","272","76","5","163","302","1","44","19","48","50","199","1","8","17895","2-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"12.4970","645","382","59","9","178","328","5","50","11","62","62","274","7","36","22899","3-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"12.9039","666","458","56","8","201","359","8","44","26","63","67","283","22","49","29575","4-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"10.7339","554","322","32","5","149","262","3","36","8","47","69","207","1","573","15567","5-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.7995","609","360","28","8","162","315","1","48","12","58","63","222","1","195","24847","6-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.1989","578","302","20","5","133","241","1","42","10","44","48","201","1","-54","24584","7-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.4357","487","283","7","11","118","248","1","43","13","70","72","161","1","60","49538","8-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"10.1526","524","327","10","7","128","279","8","50","17","60","69","189","6","18","14964","9-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.6489","498","362","26","10","125","275","5","37","23","52","57","221","5","60","122166","10-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"8.4670","437","314","7","3","126","257","2","34","4","53","63","185","2","17","37187","11-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.2614","478","408","7","6","116","261","3","36","7","50","54","221","1","177","27972","12-2015","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.3926","588","226","108","0","0","0","0","0","0","0","0","0","0","0","0","1-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.3001","480","247","70","0","0","0","0","0","0","0","0","0","0","0","0","2-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"10.8889","562","368","57","0","0","0","0","0","0","0","0","0","0","0","0","3-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"10.5789","546","358","35","0","0","0","0","0","0","0","0","0","0","0","0","4-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"10.0751","520","321","26","0","0","0","0","0","0","0","0","0","0","0","0","5-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.8039","506","364","27","0","0","0","0","0","0","0","0","0","0","0","0","6-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.2614","478","256","10","0","0","0","0","0","0","0","0","0","0","0","0","7-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"11.2183","579","356","16","0","0","0","0","0","0","0","0","0","0","0","0","8-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"9.6101","496","311","10","0","0","0","0","0","0","0","0","0","0","0","0","9-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"8.5639","442","350","16","0","0","0","0","0","0","0","0","0","0","0","0","10-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"8.1182","419","345","8","0","0","0","0","0","0","0","0","0","0","0","0","11-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
"6.1419","317","289","9","0","0","0","0","0","0","0","0","0","0","0","0","12-2016","1700","KŘP PARDUBICKÉHO KRAJE","516123"
