"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"17.4139","965","264","190","10","233","422","6","63","12","66","69","274","5","23","53184","1-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.7823","930","390","157","18","244","438","6","57","44","53","55","332","5","143","207802","2-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"17.5944","975","440","67","17","223","431","3","58","28","55","59","288","3","43","54640","3-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.8439","878","505","65","16","291","495","10","67","34","56","60","363","10","16","36140","4-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.9883","886","432","63","8","210","404","7","54","14","49","55","294","20","14","54497","5-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.3673","907","489","30","10","219","389","8","55","21","70","72","312","9","60","52864","6-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.7823","930","489","34","16","227","416","11","54","22","75","83","331","8","99","-77224","7-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.8184","932","450","15","17","219","389","0","59","27","64","66","301","1","10","43280","8-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.5552","862","474","14","6","248","422","1","69","7","63","66","357","1","23","383447","9-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.8800","880","573","2","14","279","466","6","71","33","74","75","383","6","-47","31359","10-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.2124","843","532","8","12","238","431","4","51","19","62","63","356","3","51","28261","11-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"14.4183","799","488","5","3","224","363","8","51","21","57","58","340","9","28","-94392","12-2013","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"19.4711","1079","296","212","8","258","437","5","64","14","63","67","330","6","53","97217","1-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.0966","892","389","152","17","251","457","6","54","30","62","62","338","5","36","51533","2-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"17.0530","945","475","90","10","298","475","4","59","17","79","80","380","9","6","952512","3-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.3673","907","495","67","7","265","446","1","62","10","77","79","350","1","26","42691","4-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.6274","866","522","47","10","258","462","5","79","15","89","94","363","5","24","87258","5-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.1763","841","460","36","14","244","398","2","65","22","73","79","313","3","8","32100","6-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"16.1688","896","551","31","15","254","451","12","54","41","66","71","365","25","294","1071490","7-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"14.8153","821","453","28","14","206","379","6","53","17","61","66","286","6","31","46174","8-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"14.5808","808","530","9","11","253","456","4","88","17","60","64","337","2","51","-32378","9-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"14.3462","795","537","20","19","270","460","3","73","19","84","90","354","5","25","67001","10-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"12.8664","713","535","15","13","237","434","11","56","24","67","77","356","10","3","-943401","11-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"11.1521","618","497","16","16","209","401","2","58","24","64","70","303","3","3001","256719","12-2014","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.9161","882","325","186","8","226","417","6","65","16","76","81","317","7","3","75361","1-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.0499","834","475","116","15","245","447","9","57","28","45","50","380","14","6","28178","2-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"15.9883","886","626","101","14","284","508","10","70","18","64","70","468","6","2","63618","3-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"12.7762","708","471","85","10","219","405","9","74","27","58","65","327","15","9","36102","4-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"12.1085","671","413","40","15","203","363","3","51","31","57","60","268","19","39","137324","5-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"13.8589","768","466","28","12","254","409","15","69","20","59","72","308","11","3","31049","6-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"11.7296","650","413","43","6","186","352","10","51","13","63","79","291","9","4","44523","7-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
"12.8484","712","416","10","8","197","344","0","46","9","56","66","259","0","-4","73477","8-2015","0500","KŘP KRÁLOVÉHRADECKÉHO KRAJE","554155"
