"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"19.4501","1234","346","212","14","273","507","6","59","25","110","119","314","9","46","113358","1-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"18.4571","1171","510","146","13","276","531","10","86","21","85","91","396","6","70","37949","2-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.5850","1306","680","126","16","320","635","3","97","27","115","123","435","4","253","68387","3-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.2855","1287","671","85","13","354","654","1","89","21","105","114","469","6","1077","75204","4-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"22.3188","1416","714","51","17","290","597","6","94","26","102","123","432","8","300","127003","5-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.2540","1285","704","33","23","308","605","24","97","50","92","107","426","29","-251","55311","6-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.0333","1271","710","42","24","335","638","6","93","31","112","122","444","7","40","445338","7-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"19.5605","1241","607","17","20","263","535","6","70","34","102","110","326","7","38","112511","8-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.2697","1286","657","14","21","271","561","6","90","31","108","127","369","5","431","264203","9-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"18.4098","1168","751","14","17","335","626","8","104","24","99","113","446","6","66","57607","10-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.7268","1315","882","14","19","352","682","1","95","30","114","137","469","8","202","708334","11-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.3923","1040","791","16","16","324","637","13","90","33","103","124","455","15","198","-820875","12-2013","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"23.8950","1516","467","229","14","276","564","9","78","25","107","126","400","8","39","72725","1-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"18.6778","1185","612","193","9","342","600","9","100","24","84","109","513","6","346","87866","2-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.8057","1320","681","195","18","356","661","8","89","31","92","120","556","7","109","96922","3-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.7899","1319","805","122","22","368","696","20","96","73","108","125","550","30","153","41626","4-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.6007","1307","730","36","9","310","576","12","90","22","93","111","442","10","151","69002","5-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"20.3013","1288","790","18","18","314","625","19","98","34","118","133","413","16","258","55630","6-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"19.2925","1224","740","33","11","325","631","9","88","32","136","156","445","8","10","82012","7-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.6918","1059","620","29","14","284","550","16","97","21","99","116","364","8","194","43794","8-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"17.7479","1126","635","24","21","249","543","9","84","36","102","113","355","17","17","49968","9-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"19.4028","1231","811","13","5","301","574","6","111","9","98","121","443","3","11","74316","10-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"18.6778","1185","762","20","8","300","585","7","96","25","112","140","409","10","145","69332","11-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"14.5482","923","766","14","21","280","618","4","93","37","118","143","406","12","95","90260","12-2014","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"19.7023","1250","403","284","7","257","477","4","75","16","98","136","427","3","42","156206","1-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.8809","1071","555","161","6","322","581","10","84","16","99","147","430","8","76","52054","2-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"17.9370","1138","716","100","10","337","600","6","97","21","93","135","476","11","128","75830","3-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"17.8109","1130","715","90","12","314","598","6","98","21","88","123","466","0","136","63682","4-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.7706","1064","634","42","9","260","523","8","90","18","92","125","351","12","13","31390","5-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"17.4484","1107","723","32","7","322","582","13","99","18","88","125","446","9","22","50194","6-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.8337","1068","695","37","4","276","538","5","82","16","107","126","398","12","125","55055","7-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.8021","1066","663","26","9","277","492","5","85","15","104","115","416","8","94","33098","8-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.2347","1030","670","46","9","286","539","7","114","16","109","145","432","5","76","23922","9-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"16.0140","1016","705","22","12","283","516","8","78","20","78","85","417","6","390","82867","10-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
"13.9020","882","642","25","16","247","505","5","92","22","83","100","380","8","21","38128","11-2015","0200","KŘP JIHOČESKÉHO KRAJE","634443"
