"Index Kriminality","Zjištěno","Objasněno- Počet","Objasněno- Dodatečně","Stíháno, Vyšetřováno Osob - Mladiství 15-17 Let","Stíháno, Vyšetřováno Osob - Recidivisté","Stíháno, Vyšetřováno Osob - Celkem","Stíháno, Vyšetřováno Osob - Nezletilí 1-14 Let","Stíháno, Vyšetřováno Osob - Ženy","Spácháno Skutků - Mladiství 15-17 Let","Spácháno Skutků - Z Toho Alkohol","Spácháno Skutků - Pod Vlivem","Spácháno Skutků - Recidivisté","Spácháno Skutků - Nezletilí 1-14 Let","Škody V Tis. Kč - Zajištěno","Škody V Tis. Kč - Celkem","Časová Jednotka","Kód úz.jednotky","Název úz.jednotky","Počet Obyv. úz. Jednotky"
"15.2965","1941","632","382","0","0","0","0","0","0","0","0","0","0","0","0","2-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.6284","2110","980","254","0","0","0","0","0","0","0","0","0","0","0","0","3-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"15.2886","1940","944","183","0","0","0","0","0","0","0","0","0","0","0","0","4-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"16.0215","2033","983","173","0","0","0","0","0","0","0","0","0","0","0","0","5-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"14.9655","1899","935","109","0","0","0","0","0","0","0","0","0","0","0","0","6-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"14.0908","1788","818","55","0","0","0","0","0","0","0","0","0","0","0","0","7-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"14.6818","1863","905","74","0","0","0","0","0","0","0","0","0","0","0","0","8-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"13.1057","1663","947","56","0","0","0","0","0","0","0","0","0","0","0","0","9-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"14.5321","1844","986","25","0","0","0","0","0","0","0","0","0","0","0","0","10-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"13.4761","1710","994","33","0","0","0","0","0","0","0","0","0","0","0","0","11-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
"10.9621","1391","768","33","0","0","0","0","0","0","0","0","0","0","0","0","12-2016","0100","KŘP STŘEDOČESKÉHO KRAJE","1268916"
